manga_id,url_manga,title,title_english,title_japanese,chapters,volumes,status,start_published,end_published,score,rank,authors,genres,themes
123,https://myanimelist.net/manga/123/Tenshi_no_Su,Tenshi no Su,Angel Nest,天使の巣,7.0,1.0,Finished,2000-01-01T00:00:00+00:00,,6.56,14753.0,"['Sakurazawa, Erica']","['Drama', 'Supernatural']",[]
124,https://myanimelist.net/manga/124/Aqua,Aqua,Aqua,AQUA,10.0,2.0,Finished,2001-01-27T00:00:00+00:00,2001-09-28T00:00:00+00:00,7.93,906.0,"['Amano, Kozue']","['Sci-Fi', 'Slice of Life']",['Iyashikei']
125,https://myanimelist.net/manga/125/Arcana,Arcana,Arcana,아르카나,23.0,11.0,Finished,2003-01-01T00:00:00+00:00,,6.84,11016.0,"['Lee, So Young']",['Fantasy'],[]
126,https://myanimelist.net/manga/126/Archlord,Archlord,Archlord,아크로드,46.0,6.0,Finished,2005-09-30T00:00:00+00:00,2008-01-01T00:00:00+00:00,6.73,12623.0,"['Park, Jin-Hwan']","['Action', 'Adventure', 'Fantasy', 'Romance']",[]
127,https://myanimelist.net/manga/127/Ark_Angels,Ark Angels,,Ark Angels,12.0,3.0,Finished,2007-01-01T00:00:00+00:00,,6.32,16954.0,"['Park, Sang-Sun']","['Fantasy', 'Romance', 'Supernatural']","['Crossdressing', 'School']"
128,https://myanimelist.net/manga/128/Petshop_of_Horrors,Petshop of Horrors,Pet Shop of Horrors,Petshop of Horrors (ペットショップ オブ ホラーズ),41.0,10.0,Finished,1995-01-01T00:00:00+00:00,1998-01-01T00:00:00+00:00,8.25,360.0,"['Akino, Matsuri']","['Comedy', 'Fantasy', 'Horror', 'Mystery', 'Supernatural']",[]
129,https://myanimelist.net/manga/129/Birth,Birth,Arm of Kannon,BIRTH バース,17.0,9.0,Finished,1998-01-01T00:00:00+00:00,2003-01-01T00:00:00+00:00,6.31,17039.0,"['Yamaguchi, Masakazu']","['Fantasy', 'Horror', 'Sci-Fi']",[]
130,https://myanimelist.net/manga/130/Clamp_Gakuen_Tanteidan,Clamp Gakuen Tanteidan,Clamp School Detectives,CLAMP学園探偵団,12.0,3.0,Finished,1992-01-01T00:00:00+00:00,1993-10-01T00:00:00+00:00,6.85,10824.0,['CLAMP'],"['Comedy', 'Mystery']",[]
131,https://myanimelist.net/manga/131/Aromatic_Bitters,Aromatic Bitters,The Aromatic Bitters,アロマチック・ビターズ,11.0,2.0,Finished,2001-01-01T00:00:00+00:00,2003-01-01T00:00:00+00:00,6.6,14258.0,"['Sakurazawa, Erica']","['Drama', 'Romance']",[]
132,https://myanimelist.net/manga/132/BT_X,B'T X,B'T X,B'T X,63.0,16.0,Finished,1994-10-26T00:00:00+00:00,1999-12-26T00:00:00+00:00,6.66,13500.0,"['Kurumada, Masami']","['Action', 'Adventure', 'Drama', 'Sci-Fi']","['Mecha', 'Military']"
133,https://myanimelist.net/manga/133/Tokyo_Babylon,Tokyo Babylon,Tokyo Babylon,東京 BABYLON,18.0,7.0,Finished,1990-01-01T00:00:00+00:00,1993-01-01T00:00:00+00:00,7.99,765.0,['CLAMP'],"['Drama', 'Fantasy', 'Supernatural']",[]
134,https://myanimelist.net/manga/134/MÄR,MÄR,MÄR,MÄR,161.0,15.0,Finished,2003-05-01T00:00:00+00:00,2006-07-01T00:00:00+00:00,7.36,4088.0,"['Anzai, Nobuyuki']","['Action', 'Comedy', 'Fantasy']",['Isekai']
135,https://myanimelist.net/manga/135/MÄR_Omega,MÄR Omega,MÄR Omega,"メル Ω, メル オメガ",39.0,4.0,Finished,2006-09-01T00:00:00+00:00,2007-06-13T00:00:00+00:00,6.02,18184.0,"['Anzai, Nobuyuki', 'Hoshino, Koichiro']","['Action', 'Adventure', 'Comedy', 'Fantasy']",[]
136,https://myanimelist.net/manga/136/Rekka_no_Honoo,Rekka no Honoo,Flame of Recca,烈火の炎,330.0,33.0,Finished,1995-03-22T00:00:00+00:00,2002-10-30T00:00:00+00:00,7.73,1576.0,"['Anzai, Nobuyuki']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",[]
137,https://myanimelist.net/manga/137/ROD__Read_or_Die,R.O.D: Read or Die,Read or Die,R.O.D -READ OR DIE-,30.0,4.0,Finished,1999-12-18T00:00:00+00:00,2002-05-18T00:00:00+00:00,7.06,7797.0,"['Kurata, Hideyuki', 'Yamada, Shutarou']","['Action', 'Comedy', 'Mystery']","['Adult Cast', 'Super Power']"
138,https://myanimelist.net/manga/138/Baby_Birth,Baby Birth,Baby Birth,ベイビィバース,21.0,2.0,Finished,2001-05-01T00:00:00+00:00,2002-08-01T00:00:00+00:00,6.11,17929.0,"['Mikimoto, Haruhiko']","['Adventure', 'Fantasy']",[]
139,https://myanimelist.net/manga/139/Ba_ku,Ba_ku,Ba_ku,ばく,5.0,1.0,Finished,2003-05-01T00:00:00+00:00,,6.96,9256.0,"['Hakase, Mizuki']","['Fantasy', 'Supernatural']",[]
140,https://myanimelist.net/manga/140/Bakuretsu_Hunters,Bakuretsu Hunters,Sorcerer Hunters,爆れつハンター,72.0,13.0,Finished,1993-08-01T00:00:00+00:00,1998-10-01T00:00:00+00:00,7.07,7607.0,"['Omishi, Rei', 'Akahori, Satoru']","['Comedy', 'Fantasy', 'Ecchi']",[]
141,https://myanimelist.net/manga/141/Battle_Club,Battle Club,Battle Club,バトルクラブ,47.0,6.0,Finished,2004-04-28T00:00:00+00:00,2006-03-07T00:00:00+00:00,6.49,15551.0,"['Shiozaki, Yuji']","['Action', 'Ecchi']",['Martial Arts']
142,https://myanimelist.net/manga/142/Battle_Royale,Battle Royale,Battle Royale,バトル・ロワイアル,119.0,15.0,Finished,2000-01-01T00:00:00+00:00,2005-01-01T00:00:00+00:00,7.87,1055.0,"['Taguchi, Masayuki', 'Takami, Koushun']","['Action', 'Suspense']","['Gore', 'Psychological', 'Survival']"
143,https://myanimelist.net/manga/143/Beautiful_People,Beautiful People,Beautiful People,beautiful people,6.0,1.0,Finished,2001-10-01T00:00:00+00:00,,7.18,6206.0,"['Mihara, Mitsukazu']",['Drama'],['Psychological']
144,https://myanimelist.net/manga/144/Kamisama_Damono♥,Kamisama Damono♥,Because I'm the Goddess,神様だもの♥,19.0,3.0,Finished,2003-11-25T00:00:00+00:00,2004-12-24T00:00:00+00:00,6.75,12272.0,['Shamneko'],"['Adventure', 'Comedy', 'Supernatural', 'Ecchi']",[]
145,https://myanimelist.net/manga/145/Beck,Beck,BECK: Mongolian Chop Squad,BECK,103.0,34.0,Finished,2000-02-17T00:00:00+00:00,2008-06-05T00:00:00+00:00,8.69,53.0,"['Sakuishi, Harold']","['Award Winning', 'Drama', 'Romance']",['Music']
146,https://myanimelist.net/manga/146/Sheets_no_Sukima,Sheets no Sukima,Between the Sheets,シーツの隙間,6.0,1.0,Finished,1995-08-01T00:00:00+00:00,1996-01-01T00:00:00+00:00,6.27,17253.0,"['Sakurazawa, Erica']","['Drama', 'Romance']",[]
147,https://myanimelist.net/manga/147/Sono_Mukou_no_Mukougawa,Sono Mukou no Mukougawa,Beyond the Beyond,その向こうの向こう側,38.0,6.0,Finished,2004-03-01T00:00:00+00:00,2008-02-01T00:00:00+00:00,7.28,4999.0,"['Watanabe, Yoshitomo']","['Adventure', 'Drama', 'Fantasy']",[]
148,https://myanimelist.net/manga/148/Bird_Kiss,Bird Kiss,,버드 키스,30.0,5.0,Finished,2002-01-01T00:00:00+00:00,,6.7,12947.0,"['Park, Eun Ah']","['Comedy', 'Romance']",[]
149,https://myanimelist.net/manga/149/Blame,Blame!,Blame!,BLAME!,66.0,10.0,Finished,1997-01-25T00:00:00+00:00,2003-07-25T00:00:00+00:00,8.3,296.0,"['Nihei, Tsutomu']","['Action', 'Drama', 'Horror', 'Sci-Fi']",['Psychological']
150,https://myanimelist.net/manga/150/Western_Shotgun,Western Shotgun,Blazin' Barrels,웨스턴샷건,,40.0,Finished,2000-01-01T00:00:00+00:00,2010-01-01T00:00:00+00:00,6.77,11965.0,"['Park, Min-Seo']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",[]
151,https://myanimelist.net/manga/151/Yato_no_Kamitsukai,Yato no Kamitsukai,Blood Sucker: Legend of Zipangu,夜刀の神つかい,72.0,12.0,Finished,1994-01-01T00:00:00+00:00,2007-01-01T00:00:00+00:00,6.7,12948.0,"['Shimizu, Aki', 'Okuse, Saki']","['Action', 'Fantasy', 'Horror', 'Supernatural']",['Vampire']
152,https://myanimelist.net/manga/152/Boys_Be,Boys Be...,Boys Be...,BOYS BE…,255.0,32.0,Finished,1991-07-24T00:00:00+00:00,1996-10-30T00:00:00+00:00,6.49,15552.0,"['Tamakoshi, Hiroyuki', 'Itabashi, Masahiro']","['Comedy', 'Drama', 'Romance']",['School']
153,https://myanimelist.net/manga/153/Boys_Be_2nd_Season,Boys Be... 2nd Season,Boys Be II,BOYS BE... 2nd Season,157.0,20.0,Finished,1996-11-06T00:00:00+00:00,2000-02-23T00:00:00+00:00,6.98,9023.0,"['Tamakoshi, Hiroyuki', 'Itabashi, Masahiro']","['Comedy', 'Drama', 'Romance']",[]
155,https://myanimelist.net/manga/155/Brain_Powerd,Brain Powerd,Brain Powered,ブレンパワード,26.0,4.0,Finished,1997-11-26T00:00:00+00:00,2000-10-26T00:00:00+00:00,6.28,17233.0,"['Sugisaki, Yukiru', 'Tomino, Yoshiyuki']","['Adventure', 'Drama', 'Sci-Fi']",['Mecha']
156,https://myanimelist.net/manga/156/Sennen_no_Yuki,Sennen no Yuki,Millennium Snow,千年の雪,18.0,4.0,Finished,2000-11-24T00:00:00+00:00,2013-12-10T00:00:00+00:00,7.59,2289.0,"['Hatori, Bisco']","['Comedy', 'Drama', 'Romance', 'Supernatural']",['Vampire']
157,https://myanimelist.net/manga/157/Imadoki,Imadoki!,Nowadays,イマドキ,26.0,5.0,Finished,2000-05-01T00:00:00+00:00,2001-07-01T00:00:00+00:00,7.55,2536.0,"['Watase, Yuu']","['Comedy', 'Drama', 'Romance']",[]
